0,8.2
22.5,8.2
40.5,8.2
58.5,8.2
76.5,8.2
94.5,8.2
112.5,8.2
130.5,8.2
148.5,8.2
166.5,8.2
184.5,8.2
202.5,8.2
220.5,8.2
238.5,8.2
261,8.2
279,8.2
0,25.2
22.5,25.2
40.5,25.2
58.5,25.2
76.5,25.2
94.5,25.2
112.5,25.2
130.5,25.2
148.5,25.2
166.5,25.2
184.5,25.2
202.5,25.2
220.5,25.2
238.5,25.2
261,25.2
279,25.2
0,42.2
22.5,42.2
40.5,42.2
58.5,42.2
76.5,42.2
94.5,42.2
112.5,42.2
130.5,42.2
148.5,42.2
166.5,42.2
184.5,42.2
202.5,42.2
220.5,42.2
238.5,42.2
0,59.2
27,59.2
49.5,59.2
67.5,59.2
85.5,59.2
103.5,59.2
121.5,59.2
139.5,59.2
157.5,59.2
175.5,59.2
193.5,59.2
211.5,59.2
234,59.2
261,59.2
0,76.2
22.5,76.2
40.5,76.2
58.5,76.2
76.5,76.2
105,76.2
138,76.2
166.5,76.2
184.5,76.2
202.5,76.2
220.5,76.2
243,76.2
261,76.2
279,76.2
24.75,59.2
236.25,59.2
2.25,76.2
222.75,76.2
